iter	Passed	Remaining
170	4296	20831
171	4319	20793
172	4341	20756
173	4360	20701
174	4382	20661
175	4404	20620
176	4426	20583
177	4432	20467
178	4443	20380
179	4465	20340
180	4487	20306
181	4511	20275
182	4533	20241
183	4558	20216
184	4583	20190
185	4605	20156
186	4629	20125
187	4652	20096
188	4675	20063
189	4720	20125
190	4742	20088
191	4765	20055
192	4786	20015
193	4809	19980
194	4827	19927
195	4843	19868
196	4865	19832
197	4887	19795
198	4910	19765
199	4931	19727
200	4955	19697
201	4973	19648
202	4996	19615
203	5020	19588
204	5042	19553
205	5059	19499
206	5083	19472
207	5108	19451
208	5131	19421
209	5154	19390
210	5178	19364
211	5183	19268
212	5204	19230
213	5228	19202
214	5251	19172
215	5272	19137
216	5280	19054
217	5303	19023
218	5322	18979
219	5344	18950
220	5367	18919
221	5391	18893
222	5416	18874
223	5438	18841
224	5460	18809
225	5481	18773
226	5504	18743
227	5526	18712
228	5543	18665
229	5567	18638
230	5596	18630
231	5626	18624
232	5651	18604
233	5675	18578
234	5695	18539
235	5753	18624
236	5776	18596
237	5800	18571
238	5821	18536
239	5844	18506
240	5863	18466
241	5885	18434
242	5906	18399
243	5915	18326
244	5926	18264
245	5947	18230
246	5963	18181
247	5984	18147
248	5998	18092
249	6019	18058
250	6041	18027
251	6062	17994
252	6083	17963
253	6104	17930
254	6129	17907
255	6153	17884
256	6179	17864
257	6206	17850
258	6233	17834
259	6273	17856
260	6306	17856
261	6318	17799
262	6326	17729
263	6353	17712
264	6377	17688
265	6401	17663
266	6420	17625
267	6442	17597
268	6467	17575
269	6481	17523
270	6489	17458
271	6496	17388
272	6510	17336
273	6532	17308
274	6560	17295
275	6583	17269
276	6605	17241
277	6632	17226
278	6659	17209
279	6681	17181
280	6691	17120
281	6754	17197
282	6798	17223
283	6834	17230
284	6854	17196
285	6881	17179
286	6908	17163
287	6931	17136
288	6956	17115
289	6981	17092
290	7006	17070
291	7037	17064
292	7066	17051
293	7090	17027
294	7115	17005
295	7134	16968
296	7157	16941
297	7179	16911
298	7201	16882
299	7223	16854
300	7247	16830
301	7264	16790
302	7286	16760
303	7304	16722
304	7322	16686
305	7368	16712
306	7394	16691
307	7417	16665
308	7440	16639
309	7460	16605
310	7473	16556
311	7494	16527
312	7515	16495
313	7535	16463
314	7549	16417
315	7571	16389
316	7613	16404
317	7670	16449
318	7707	16453
319	7737	16442
320	7823	16549
321	7839	16506
322	7854	16461
323	7880	16442
324	7892	16391
325	7926	16388
326	7953	16368
327	7980	16350
328	8013	16343
329	8029	16301
330	8059	16290
331	8086	16269
332	8109	16244
333	8133	16218
334	8158	16194
335	8183	16171
336	8207	16147
337	8232	16124
338	8255	16096
339	8277	16067
340	8297	16036
341	8319	16006
342	8333	15963
343	8353	15930
344	8375	15901
345	8399	15876
346	8420	15845
347	8446	15824
348	8450	15763
349	8477	15743
350	8486	15691
351	8507	15661
352	8526	15628
353	8544	15593
354	8566	15565
355	8590	15539
356	8610	15508
357	8631	15478
358	8644	15434
359	8663	15402
360	8684	15372
361	8700	15334
362	8709	15283
363	8739	15269
364	8763	15246
365	8785	15219
366	8810	15196
367	8869	15233
368	8895	15210
369	8919	15186
370	8939	15155
371	8962	15129
372	8984	15101
373	8997	15060
374	9019	15031
375	9043	15007
376	9064	14979
377	9089	14956
378	9111	14929
379	9134	14903
380	9157	14878
381	9167	14831
382	9177	14784
383	9197	14754
384	9219	14726
385	9240	14697
386	9257	14664
387	9280	14638
388	9302	14611
389	9327	14589
390	9349	14561
391	9369	14531
392	9377	14483
393	9399	14457
394	9419	14427
395	9439	14398
396	9452	14356
397	9472	14327
398	9492	14298
399	9514	14271
400	9525	14228
401	9548	14203
402	9570	14177
403	9591	14150
404	9611	14120
405	9633	14094
406	9656	14070
407	9680	14045
408	9685	13994
409	9712	13976
410	9736	13952
411	9762	13932
412	9783	13905
413	9804	13877
414	9830	13857
415	9886	13878
416	9909	13854
417	9932	13829
418	9953	13802
419	9989	13795
420	10013	13771
421	10037	13747
422	10060	13722
423	10083	13698
424	10119	13690
425	10143	13668
426	10155	13628
427	10178	13603
428	10201	13577
429	10224	13553
430	10246	13527
431	10270	13503
432	10289	13473
433	10311	13447
434	10340	13430
435	10365	13408
436	10389	13384
437	10401	13346
438	10423	13320
439	10445	13294
440	10469	13270
441	10494	13248
442	10517	13224
443	10528	13184
444	10551	13160
445	10573	13133
446	10598	13111
447	10616	13081
448	10627	13041
449	10647	13013
450	10659	12976
451	10683	12952
452	10704	12925
453	10730	12905
454	10755	12882
455	10776	12856
456	10798	12830
457	10826	12812
458	10858	12798
459	10920	12819
460	10948	12800
461	10970	12775
462	10993	12750
463	11018	12727
464	11041	12704
465	11073	12689
466	11119	12690
467	11145	12669
468	11166	12643
469	11190	12618
470	11201	12581
471	11229	12561
472	11240	12523
473	11263	12499
474	11278	12465
475	11298	12437
476	11322	12413
477	11349	12394
478	11370	12367
479	11384	12333
480	11388	12288
481	11409	12262
482	11430	12235
483	11442	12199
484	11463	12172
485	11472	12133
486	11488	12102
487	11510	12076
488	11546	12065
489	11572	12044
490	11600	12025
491	11630	12008
492	11656	11987
493	11684	11968
494	11703	11940
495	11726	11915
496	11748	11890
497	11757	11852
498	11784	11831
499	11794	11794
500	11826	11779
501	11879	11784
502	11973	11830
503	11996	11805
504	12019	11781
505	12076	11789
506	12105	11771
507	12133	11751
508	12159	11729
509	12183	11705
510	12205	11679
511	12228	11655
512	12252	11631
513	12290	11620
514	12314	11597
515	12336	11571
516	12356	11544
517	12379	11519
518	12403	11494
519	12424	11469
520	12446	11443
521	12465	11414
522	12483	11385
523	12519	11372
524	12545	11350
525	12566	11323
526	12588	11298
527	12614	11276
528	12641	11255
529	12663	11229
530	12689	11207
531	12715	11185
532	12736	11159
533	12760	11135
534	12790	11117
535	12816	11094
536	12847	11077
537	12868	11050
538	12895	11029
539	12961	11041
540	13061	11081
541	13098	11068
542	13138	11057
543	13184	11051
544	13215	11033
545	13247	11015
546	13267	10987
547	13302	10972
548	13331	10952
549	13343	10917
550	13360	10887
551	13390	10867
552	13414	10843
553	13440	10820
554	13464	10795
555	13488	10771
556	13508	10743
557	13531	10718
558	13556	10695
559	13581	10671
560	13591	10635
561	13631	10623
562	13689	10625
563	13722	10608
564	13746	10583
565	13767	10556
566	13795	10535
567	13821	10512
568	13845	10487
569	13870	10463
570	13897	10441
571	13924	10419
572	13954	10399
573	13989	10382
574	13996	10345
575	14028	10326
576	14114	10347
577	14138	10322
578	14158	10294
579	14178	10267
580	14200	10240
581	14224	10216
582	14245	10189
583	14261	10159
584	14283	10133
585	14303	10105
586	14321	10076
587	14342	10049
588	14364	10023
589	14383	9995
590	14405	9969
591	14426	9942
592	14440	9911
593	14463	9885
594	14481	9856
595	14502	9830
596	14523	9804
597	14546	9778
598	14567	9752
599	14593	9729
600	14613	9702
601	14626	9669
602	14630	9632
603	14651	9606
604	14673	9580
605	14701	9558
606	14726	9534
607	14737	9501
608	14760	9476
609	14780	9449
610	14804	9425
611	14824	9398
612	14845	9372
613	14867	9346
614	14888	9320
615	14909	9293
616	14920	9261
617	14939	9234
618	14960	9208
619	14982	9182
620	14997	9153
621	15008	9121
622	15030	9095
623	15060	9075
624	15085	9051
625	15153	9053
626	15175	9027
627	15198	9003
628	15218	8976
629	15238	8949
630	15257	8922
631	15277	8895
632	15300	8870
633	15325	8847
634	15349	8822
635	15376	8800
636	15403	8777
637	15420	8749
638	15443	8724
639	15469	8701
640	15497	8679
641	15526	8658
642	15557	8637
643	15590	8618
644	15617	8595
645	15640	8570
646	15663	8545
647	15684	8520
648	15705	8494
649	15727	8468
650	15748	8442
651	15770	8417
652	15791	8391
653	15814	8366
654	15823	8334
655	15848	8310
656	15890	8295
657	15909	8269
658	15944	8250
659	15961	8222
660	15985	8198
661	16005	8172
662	16023	8144
663	16046	8119
664	16068	8094
665	16091	8070
666	16114	8044
667	16200	8051
668	16238	8034
669	16270	8014
670	16300	7992
671	16326	7968
672	16352	7945
673	16382	7923
674	16405	7898
675	16426	7872
676	16440	7843
677	16462	7818
678	16481	7791
679	16504	7766
680	16527	7742
681	16550	7716
682	16572	7691
683	16599	7668
684	16624	7644
685	16651	7621
686	16666	7593
687	16724	7584
688	16761	7565
689	16804	7549
690	16841	7531
691	16856	7502
692	16866	7472
693	16894	7448
694	16925	7427
695	16942	7400
696	16966	7375
697	16975	7344
698	16995	7318
699	17003	7287
700	17026	7262
701	17035	7231
702	17082	7216
703	17101	7190
704	17126	7166
705	17151	7142
706	17174	7117
707	17203	7095
708	17211	7064
709	17303	7067
710	17331	7044
711	17373	7027
712	17401	7004
713	17426	6980
714	17453	6957
715	17478	6932
716	17503	6908
717	17526	6883
718	17556	6861
719	17580	6836
720	17622	6819
721	17638	6791
722	17668	6769
723	17694	6745
724	17718	6720
725	17746	6697
726	17795	6682
727	17806	6653
728	17833	6629
729	17860	6605
730	17890	6583
731	17918	6560
732	17947	6537
733	17971	6512
734	17997	6488
735	18018	6463
736	18040	6437
737	18064	6413
738	18075	6383
739	18096	6358
740	18125	6335
741	18164	6315
742	18189	6291
743	18272	6287
744	18304	6265
745	18331	6241
746	18359	6218
747	18376	6190
748	18400	6166
749	18428	6142
750	18450	6117
751	18471	6091
752	18493	6066
753	18499	6035
754	18521	6010
755	18541	5984
756	18564	5959
757	18579	5931
758	18602	5906
759	18624	5881
760	18651	5857
761	18697	5839
762	18762	5828
763	18791	5804
764	18819	5781
765	18850	5758
766	18879	5735
767	18910	5712
768	18944	5690
769	18982	5670
770	19010	5646
771	19042	5623
772	19070	5600
773	19100	5577
774	19127	5553
775	19141	5525
776	19152	5496
777	19185	5474
778	19210	5449
779	19216	5420
780	19644	5508
781	19656	5479
782	19678	5453
783	19710	5430
784	19737	5405
785	19752	5377
786	19781	5353
787	19811	5330
788	19840	5305
789	19875	5283
790	19910	5260
791	19939	5236
792	19971	5213
793	19999	5188
794	20031	5165
795	20053	5139
796	20076	5113
797	20096	5087
798	20105	5057
799	20123	5030
800	20144	5004
801	20168	4979
802	20190	4953
803	20214	4927
804	20247	4904
805	20278	4880
806	20303	4855
807	20318	4828
808	20343	4802
809	20362	4776
810	20385	4750
811	20392	4721
812	20399	4692
813	20419	4665
814	20441	4640
815	20462	4614
816	20483	4588
817	20492	4559
818	20513	4533
819	20534	4507
820	20556	4481
821	20585	4457
822	20608	4432
823	20699	4421
824	20725	4396
825	20747	4370
826	20815	4354
827	20930	4347
828	20964	4324
829	20988	4298
830	21012	4273
831	21035	4247
832	21048	4219
833	21073	4194
834	21096	4168
835	21118	4142
836	21196	4127
837	21235	4105
838	21262	4080
839	21295	4056
840	21317	4030
841	21343	4005
842	21350	3976
843	21378	3951
844	21402	3925
845	21434	3901
846	21475	3879
847	21497	3853
848	21519	3827
849	21540	3801
850	21547	3772
851	21569	3746
852	21591	3720
853	21619	3696
854	21641	3670
855	21663	3644
856	21687	3618
857	21792	3606
858	21813	3580
859	21826	3553
860	21850	3527
861	21871	3501
862	21893	3475
863	21914	3449
864	21930	3422
865	21951	3396
866	21975	3371
867	21996	3345
868	22027	3320
869	22048	3294
870	22076	3269
871	22105	3244
872	22132	3219
873	22157	3194
874	22178	3168
875	22203	3142
876	22227	3117
877	22248	3091
878	22270	3065
879	22291	3039
880	22313	3013
881	22361	2991
882	22393	2967
883	22418	2941
884	22448	2917
885	22476	2891
886	22498	2866
887	22520	2840
888	22544	2814
889	22571	2789
890	22606	2765
891	22695	2747
892	22721	2722
893	22749	2697
894	22857	2681
895	22880	2655
896	22910	2630
897	22933	2604
898	22961	2579
899	22986	2554
900	23008	2528
901	23029	2502
902	23050	2476
903	23071	2450
904	23093	2424
905	23118	2398
906	23150	2373
907	23174	2348
908	23187	2321
909	23217	2296
910	23247	2271
911	23272	2245
912	23306	2220
913	23331	2195
914	23355	2169
915	23390	2144
916	23418	2119
917	23442	2093
918	23467	2068
919	23490	2042
920	23516	2017
921	23528	1990
922	23552	1964
923	23579	1939
924	23603	1913
925	23625	1888
926	23647	1862
927	23670	1836
928	23693	1810
929	23713	1784
930	23741	1759
931	23770	1734
932	23794	1708
933	23814	1682
934	23835	1657
935	23928	1636
936	23954	1610
937	23976	1584
938	23997	1558
939	24018	1533
940	24038	1507
941	24058	1481
942	24080	1455
943	24102	1429
944	24123	1404
945	24153	1378
946	24180	1353
947	24206	1327
948	24227	1302
949	24246	1276
950	24268	1250
951	24294	1224
952	24319	1199
953	24338	1173
954	24360	1147
955	24382	1122
956	24406	1096
957	24425	1070
958	24446	1045
959	24467	1019
960	24488	993
961	24510	968
962	24530	942
963	24539	916
964	24560	890
965	24582	865
966	24603	839
967	24624	814
968	24646	788
969	24665	762
970	24684	737
971	24707	711
972	24727	686
973	24751	660
974	24776	635
975	24805	609
976	24815	584
977	24834	558
978	24855	533
979	24874	507
980	24897	482
981	25017	458
982	25044	433
983	25069	407
984	25090	382
985	25112	356
986	25135	331
987	25161	305
988	25186	280
989	25211	254
990	25240	229
991	25272	203
992	25302	178
993	25333	152
994	25361	127
995	25384	101
996	25410	76
997	25437	50
998	25469	25
999	25493	0
